timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759763993252,947,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,2271,266,1,1,null,0,0,233
1759763993857,341,Login,200,OK,setUp Thread Group 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,339,0,233
1759763994263,121,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-1,,true,,720,1921,1,1,null,0,2,56
1759763994265,121,Basic Entity Search,200,OK,CRSG 1-1,text,true,,720,1921,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,120,0,56
1759763994263,121,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-1,,true,,720,1921,1,1,null,0,2,56
1759763994265,121,Basic Entity Search,200,OK,CRSG 1-1,text,true,,720,1921,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,120,0,56
1759763994386,36,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-1,,true,,536,2008,1,1,null,0,0,0
1759763994386,36,Enhanced Entity Search,200,OK,CRSG 1-1,text,true,,536,2008,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,36,0,0
1759763994386,36,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-1,,true,,536,2008,1,1,null,0,0,0
1759763994386,36,Enhanced Entity Search,200,OK,CRSG 1-1,text,true,,536,2008,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,36,0,0
1759763995263,176,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-2,,true,,720,1921,2,2,null,0,2,33
1759763995264,176,Basic Entity Search,200,OK,CRSG 1-2,text,true,,720,1921,2,2,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,175,0,33
1759763995263,176,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-2,,true,,720,1921,2,2,null,0,2,33
1759763995264,176,Basic Entity Search,200,OK,CRSG 1-2,text,true,,720,1921,2,2,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,175,0,33
1759763995441,69,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-2,,true,,536,2008,2,2,null,0,0,0
1759763995441,69,Enhanced Entity Search,200,OK,CRSG 1-2,text,true,,536,2008,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,69,0,0
1759763995441,69,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-2,,true,,536,2008,2,2,null,0,0,0
1759763995441,69,Enhanced Entity Search,200,OK,CRSG 1-2,text,true,,536,2008,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,69,0,0
1759763996261,887,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-3,,true,,720,1921,3,3,null,0,3,44
1759763996263,887,Basic Entity Search,200,OK,CRSG 1-3,text,true,,720,1921,3,3,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,887,0,44
1759763996261,887,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-3,,true,,720,1921,3,3,null,0,3,44
1759763996263,887,Basic Entity Search,200,OK,CRSG 1-3,text,true,,720,1921,3,3,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,887,0,44
1759763997152,51,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-3,,true,,536,2008,3,3,null,0,2,0
1759763997153,51,Enhanced Entity Search,200,OK,CRSG 1-3,text,true,,536,2008,3,3,https://api-preprod.stg.handshakes.ai/api/entity/search,51,0,0
1759763997152,51,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-3,,true,,536,2008,3,3,null,0,2,0
1759763997153,51,Enhanced Entity Search,200,OK,CRSG 1-3,text,true,,536,2008,3,3,https://api-preprod.stg.handshakes.ai/api/entity/search,51,0,0
1759763997261,898,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-4,,true,,720,1921,4,4,null,0,3,66
1759763997263,898,Basic Entity Search,200,OK,CRSG 1-4,text,true,,720,1921,4,4,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,898,0,66
1759763997261,898,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-4,,true,,720,1921,4,4,null,0,3,66
1759763997263,898,Basic Entity Search,200,OK,CRSG 1-4,text,true,,720,1921,4,4,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,898,0,66
1759763998163,74,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-4,,true,,536,2008,4,4,null,0,0,0
1759763998163,74,Enhanced Entity Search,200,OK,CRSG 1-4,text,true,,536,2008,4,4,https://api-preprod.stg.handshakes.ai/api/entity/search,74,0,0
1759763998163,74,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-4,,true,,536,2008,4,4,null,0,0,0
1759763998163,74,Enhanced Entity Search,200,OK,CRSG 1-4,text,true,,536,2008,4,4,https://api-preprod.stg.handshakes.ai/api/entity/search,74,0,0
1759763998262,1098,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-5,,true,,720,1921,6,6,null,0,3,56
1759763998265,1098,Basic Entity Search,200,OK,CRSG 1-5,text,true,,720,1921,6,6,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=RPHCXRU%20BGLAN%20XKCMT%20XMA&sourceshortname=CRSG,1097,0,56
1759763998262,1098,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",CRSG 1-5,,true,,720,1921,6,6,null,0,3,56
