timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759716986644,1000,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,2271,266,1,1,null,0,0,247
1759716987253,391,Login,200,OK,setUp Thread Group 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,383,0,247
1759716987707,240,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,3522,2129,1,1,null,0,3,38
1759716987709,240,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-1,text,true,,3522,2129,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,240,0,38
1759716987707,240,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,3522,2129,1,1,null,0,3,38
1759716987709,240,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-1,text,true,,3522,2129,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,240,0,38
1759716987951,11370,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,2342910,2204,1,1,null,0,2,0
1759716987952,11370,Radial Map,200,OK,OW - CRSG x SPG 1-1,text,true,,2342910,2204,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,10978,0,0
1759716987951,11370,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,2342910,2204,1,1,null,0,2,0
1759716987952,11370,Radial Map,200,OK,OW - CRSG x SPG 1-1,text,true,,2342910,2204,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,10978,0,0
1759716999323,6955,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,8616,2253,1,1,null,0,1,0
1759716999323,6955,Interconnection Map,200,OK,OW - CRSG x SPG 1-1,text,true,,8616,2253,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,6955,0,0
1759716999323,6955,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,8616,2253,1,1,null,0,1,0
1759716999323,6955,Interconnection Map,200,OK,OW - CRSG x SPG 1-1,text,true,,8616,2253,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,6955,0,0
1759717006280,11324,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,184749,1922,1,1,null,0,2,0
1759717006281,11324,EPR,200,OK,OW - CRSG x SPG 1-1,text,true,,184749,1922,1,1,https://api-preprod.stg.handshakes.ai/api/report/entityprofile/base/json/1?sourceshortname=CRSG&sourceshortname=SPG&uen=109081684A,11314,0,0
1759717006280,11324,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,184749,1922,1,1,null,0,2,0
1759717006281,11324,EPR,200,OK,OW - CRSG x SPG 1-1,text,true,,184749,1922,1,1,https://api-preprod.stg.handshakes.ai/api/report/entityprofile/base/json/1?sourceshortname=CRSG&sourceshortname=SPG&uen=109081684A,11314,0,0
