timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759717277508,1719,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,2271,266,1,1,null,0,0,500
1759717278177,1050,Login,200,OK,setUp Thread Group 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,1048,0,500
1759717279272,269,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,3522,2129,1,1,null,0,2,57
1759717279273,269,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-1,text,true,,3522,2129,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,269,0,57
1759717279272,269,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-1,,true,,3522,2129,1,1,null,0,2,57
1759717279273,269,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-1,text,true,,3522,2129,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,269,0,57
1759717280275,707,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-2,,true,,3522,2129,2,2,null,0,3,60
1759717280277,707,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-2,text,true,,3522,2129,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,707,0,60
1759717280275,707,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-2,,true,,3522,2129,2,2,null,0,3,60
1759717280277,707,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-2,text,true,,3522,2129,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,707,0,60
1759717281277,695,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-3,,true,,3522,2129,3,3,null,0,2,106
1759717281278,695,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-3,text,true,,3522,2129,3,3,https://api-preprod.stg.handshakes.ai/api/entity/search,695,0,106
1759717281277,695,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-3,,true,,3522,2129,3,3,null,0,2,106
1759717281278,695,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-3,text,true,,3522,2129,3,3,https://api-preprod.stg.handshakes.ai/api/entity/search,695,0,106
1759717282277,1509,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-4,,true,,3522,2129,5,5,null,0,1,76
1759717282278,1509,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-4,text,true,,3522,2129,5,5,https://api-preprod.stg.handshakes.ai/api/entity/search,1509,0,76
1759717282277,1509,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-4,,true,,3522,2129,5,5,null,0,1,76
1759717282278,1509,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-4,text,true,,3522,2129,5,5,https://api-preprod.stg.handshakes.ai/api/entity/search,1509,0,76
1759717283279,940,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-5,,true,,3522,2129,5,5,null,0,1,65
1759717283280,940,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-5,text,true,,3522,2129,5,5,https://api-preprod.stg.handshakes.ai/api/entity/search,939,0,65
1759717283279,940,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-5,,true,,3522,2129,5,5,null,0,1,65
1759717283280,940,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-5,text,true,,3522,2129,5,5,https://api-preprod.stg.handshakes.ai/api/entity/search,939,0,65
1759717284275,2512,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-6,,true,,3522,2129,8,8,null,0,2,82
1759717284277,2512,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-6,text,true,,3522,2129,8,8,https://api-preprod.stg.handshakes.ai/api/entity/search,2512,0,82
1759717284275,2512,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-6,,true,,3522,2129,8,8,null,0,2,82
1759717284277,2512,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-6,text,true,,3522,2129,8,8,https://api-preprod.stg.handshakes.ai/api/entity/search,2512,0,82
1759717286273,985,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-8,,true,,3522,2129,8,8,null,0,2,72
1759717286274,985,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-8,text,true,,3522,2129,8,8,https://api-preprod.stg.handshakes.ai/api/entity/search,985,0,72
1759717285274,1984,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-7,,true,,3522,2129,8,8,null,0,2,86
1759717286273,985,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x SPG 1-8,,true,,3522,2129,8,8,null,0,2,72
1759717285275,1984,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-7,text,true,,3522,2129,8,8,https://api-preprod.stg.handshakes.ai/api/entity/search,1984,0,86
1759717286274,985,Enhanced Entity Search,200,OK,OW - CRSG x SPG 1-8,text,true,,3522,2129,8,8,https://api-preprod.stg.handshakes.ai/api/entity/search,985,0,72
