timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764255221503,1365,Basic Entity Search,401,"Number of samples in transaction : 2, number of failing samples : 1",Basic Entity Search 1-1,,false,,1258,504,1,5,null,0,686,803
1764255221522,1366,EPR,401,"Number of samples in transaction : 2, number of failing samples : 1",EPR 5-1,,false,,2922,539,1,5,null,0,666,804
1764255222185,1312,Token,200,OK,Basic Entity Search 1-1,text,true,,607,259,1,5,https://api2.stg.handshakes.ai/Token,1312,0,803
1764255222185,1312,Token,200,OK,EPR 5-1,text,true,,2271,259,1,5,https://api2.stg.handshakes.ai/Token,1312,0,804
1764255223499,53,Basic Entity Search,401,Unauthorized,Basic Entity Search 1-1,text,false,Test failed: code expected to contain /200/,651,245,1,5,https://api2.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,52,0,0
1764255223500,54,EPR,401,Unauthorized,EPR 5-1,text,false,Test failed: code expected to contain /200/,651,280,1,5,https://api2.stg.handshakes.ai/api/report/entityprofile/base/json/2?sourceguid=2b750d5e-4646-4843-9292-7c82940f55b2&entityguid=6C982F92-2D00-4D1B-B153-29F989313F4B,53,0,0
1764255221503,1365,Basic Entity Search,401,"Number of samples in transaction : 2, number of failing samples : 1",Basic Entity Search 1-1,,false,,1258,504,1,5,null,0,686,803
1764255222185,1312,Token,200,OK,Basic Entity Search 1-1,text,true,,607,259,1,5,https://api2.stg.handshakes.ai/Token,1312,0,803
1764255221522,1366,EPR,401,"Number of samples in transaction : 2, number of failing samples : 1",EPR 5-1,,false,,2922,539,1,5,null,0,666,804
1764255223499,53,Basic Entity Search,401,Unauthorized,Basic Entity Search 1-1,text,false,Test failed: code expected to contain /200/,651,245,1,5,https://api2.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,52,0,0
1764255222185,1312,Token,200,OK,EPR 5-1,text,true,,2271,259,1,5,https://api2.stg.handshakes.ai/Token,1312,0,804
1764255223500,54,EPR,401,Unauthorized,EPR 5-1,text,false,Test failed: code expected to contain /200/,651,280,1,5,https://api2.stg.handshakes.ai/api/report/entityprofile/base/json/2?sourceguid=2b750d5e-4646-4843-9292-7c82940f55b2&entityguid=6C982F92-2D00-4D1B-B153-29F989313F4B,53,0,0
1764255221517,1438,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 4-1,,false,,2913,2383,1,5,null,0,735,805
1764255222185,1126,Token,200,OK,Interconnection Map 4-1,text,true,,2271,259,1,5,https://api2.stg.handshakes.ai/Token,1116,0,805
1764255223377,312,Interconnection Map,500,Internal Server Error,Interconnection Map 4-1,,false,Test failed: code expected to contain /200/,642,2124,1,5,https://api2.stg.handshakes.ai/api/graph/render,312,0,0
1764255221517,1438,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 4-1,,false,,2913,2383,1,5,null,0,735,805
1764255222185,1126,Token,200,OK,Interconnection Map 4-1,text,true,,2271,259,1,5,https://api2.stg.handshakes.ai/Token,1116,0,805
1764255223377,312,Interconnection Map,500,Internal Server Error,Interconnection Map 4-1,,false,Test failed: code expected to contain /200/,642,2124,1,5,https://api2.stg.handshakes.ai/api/graph/render,312,0,0
1764255223692,475,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 4-1,,false,,2913,2383,1,5,null,0,520,88
1764255224207,334,Token,200,OK,Interconnection Map 4-1,text,true,,2271,259,1,5,https://api2.stg.handshakes.ai/Token,334,0,88
1764255224545,141,Interconnection Map,500,Internal Server Error,Interconnection Map 4-1,,false,Test failed: code expected to contain /200/,642,2124,1,5,https://api2.stg.handshakes.ai/api/graph/render,141,0,0
