timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764225042571,1410,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,870,1040
1764225043324,1326,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,1311,0,1040
1764225044760,84,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,82,0,0
1764225042571,1410,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,870,1040
1764225043324,1326,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,1311,0,1040
1764225044760,84,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,82,0,0
1764225044854,501,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,507,0
1764225045356,280,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,280,0,0
1764225045640,221,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,221,0,0
1764225044854,501,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,507,0
1764225045356,280,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,280,0,0
1764225045640,221,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,221,0,0
1764225045864,865,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,509,0
1764225046365,62,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,62,0,0
1764225046435,803,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,803,0,0
1764225045864,865,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,509,0
1764225046365,62,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,62,0,0
1764225046435,803,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,803,0,0
1764225042554,18503,Enhanced Entity Search,200,"Number of samples in transaction : 2, number of failing samples : 0",Enhanced Entity Search 1-1,,true,,8174,2437,1,3,null,0,881,1039
1764225043324,1326,Token,200,OK,Enhanced Entity Search 1-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,1311,0,1039
1764225044760,17177,Enhanced Entity Search,200,OK,Enhanced Entity Search 1-1,text,true,,5903,2178,1,3,https://api2.stg.handshakes.ai/api/entity/search,17177,0,0
1764225042554,18503,Enhanced Entity Search,200,"Number of samples in transaction : 2, number of failing samples : 0",Enhanced Entity Search 1-1,,true,,8174,2437,1,3,null,0,881,1039
1764225043324,1326,Token,200,OK,Enhanced Entity Search 1-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,1311,0,1039
1764225044760,17177,Enhanced Entity Search,200,OK,Enhanced Entity Search 1-1,text,true,,5903,2178,1,3,https://api2.stg.handshakes.ai/api/entity/search,17177,0,0
