timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759887667723,339,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,331,0,235
1759887667723,339,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,331,0,235
1759887667118,339,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,331,655,235
1759887667118,339,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,331,655,235
1759887668132,4322,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,10603,2005,5,5,null,0,2,45
1759887668134,4322,Basic Entity Search,200,OK,APIs 1-1,text,true,,10603,2005,5,5,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Ngân%20hàng%20Thương%20mại%20Cổ%20phần%20Quân%20đội&sourceshortname=CRVN,4320,0,45
1759887668132,4322,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,10603,2005,5,5,null,0,2,45
1759887668134,4322,Basic Entity Search,200,OK,APIs 1-1,text,true,,10603,2005,5,5,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Ngân%20hàng%20Thương%20mại%20Cổ%20phần%20Quân%20đội&sourceshortname=CRVN,4320,0,45
1759887672456,195,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,536,2030,5,5,null,0,0,0
1759887672456,195,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,536,2030,5,5,https://api-preprod.stg.handshakes.ai/api/entity/search,195,0,0
1759887672456,195,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,536,2030,5,5,null,0,0,0
1759887672456,195,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,536,2030,5,5,https://api-preprod.stg.handshakes.ai/api/entity/search,195,0,0
1759887669137,5500,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-2,,true,,10567,2005,7,7,null,0,1,41
1759887669138,5500,Basic Entity Search,200,OK,APIs 1-2,text,true,,10567,2005,7,7,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Ngân%20hàng%20Thương%20mại%20Cổ%20phần%20Quân%20đội&sourceshortname=CRVN,5500,0,41
1759887669137,5500,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-2,,true,,10567,2005,7,7,null,0,1,41
1759887669138,5500,Basic Entity Search,200,OK,APIs 1-2,text,true,,10567,2005,7,7,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Ngân%20hàng%20Thương%20mại%20Cổ%20phần%20Quân%20đội&sourceshortname=CRVN,5500,0,41
1759887671132,6488,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-4,,true,,10569,2005,10,10,null,0,2,77
1759887671133,6488,Basic Entity Search,200,OK,APIs 1-4,text,true,,10569,2005,10,10,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Ngân%20hàng%20Thương%20mại%20Cổ%20phần%20Quân%20đội&sourceshortname=CRVN,6488,0,77
1759887671132,6488,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-4,,true,,10569,2005,10,10,null,0,2,77
1759887671133,6488,Basic Entity Search,200,OK,APIs 1-4,text,true,,10569,2005,10,10,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Ngân%20hàng%20Thương%20mại%20Cổ%20phần%20Quân%20đội&sourceshortname=CRVN,6488,0,77
1759887672134,5507,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-5,,true,,10569,2005,10,10,null,0,2,43
1759887672136,5507,Basic Entity Search,200,OK,APIs 1-5,text,true,,10569,2005,10,10,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Ngân%20hàng%20Thương%20mại%20Cổ%20phần%20Quân%20đội&sourceshortname=CRVN,5506,0,43
