timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764223998197,1675,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,823,1301
1764223998918,1593,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,1593,0,1301
1764224000608,82,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,80,0,0
1764223998197,1675,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,823,1301
1764223998918,1593,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,1593,0,1301
1764224000608,82,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,80,0,0
1764224000698,1291,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,522,0
1764224001213,980,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,980,0,0
1764224002199,311,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,311,0,0
1764224000698,1291,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,522,0
1764224001213,980,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,980,0,0
1764224002199,311,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,311,0,0
1764224002512,876,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,522,0
1764224003026,472,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,472,0,0
1764224003505,404,Interconnection Map,500,Internal Server Error,Interconnection Map 3-1,,false,Test failed: code expected to contain /200/,642,2297,1,4,https://api2.stg.handshakes.ai/api/graph/render,403,0,0
1764224002512,876,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",Interconnection Map 3-1,,false,,2913,2556,1,4,null,0,522,0
1764224003026,472,Token,200,OK,Interconnection Map 3-1,text,true,,2271,259,1,4,https://api2.stg.handshakes.ai/Token,472,0,0
