timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759887196230,423,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,419,0,278
1759887196230,423,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,419,0,278
1759887195622,423,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,419,632,278
1759887195622,423,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,419,632,278
1759887196695,524,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3069,1936,1,1,null,0,3,57
1759887196696,524,Basic Entity Search,200,OK,APIs 1-1,text,true,,3069,1936,1,1,"https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Bank%20of%20America,%20National%20Association&sourceshortname=SPG",522,0,57
1759887196695,524,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3069,1936,1,1,null,0,3,57
1759887196696,524,Basic Entity Search,200,OK,APIs 1-1,text,true,,3069,1936,1,1,"https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Bank%20of%20America,%20National%20Association&sourceshortname=SPG",522,0,57
1759887197223,620,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,15607,2016,2,2,null,0,1,0
1759887197224,620,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,15607,2016,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,619,0,0
1759887197223,620,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,15607,2016,2,2,null,0,1,0
1759887197224,620,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,15607,2016,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,619,0,0
1759887197697,349,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-2,,true,,3069,1936,2,2,null,0,2,46
1759887197698,349,Basic Entity Search,200,OK,APIs 1-2,text,true,,3069,1936,2,2,"https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Bank%20of%20America,%20National%20Association&sourceshortname=SPG",348,0,46
1759887197697,349,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-2,,true,,3069,1936,2,2,null,0,2,46
1759887197698,349,Basic Entity Search,200,OK,APIs 1-2,text,true,,3069,1936,2,2,"https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Bank%20of%20America,%20National%20Association&sourceshortname=SPG",348,0,46
1759887198049,479,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-2,,true,,15607,2016,2,2,null,0,1,0
1759887198049,479,Enhanced Entity Search,200,OK,APIs 1-2,text,true,,15607,2016,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,479,0,0
1759887198049,479,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-2,,true,,15607,2016,2,2,null,0,1,0
1759887198049,479,Enhanced Entity Search,200,OK,APIs 1-2,text,true,,15607,2016,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,479,0,0
1759887198696,1239,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-3,,true,,3069,1936,4,4,null,0,1,51
