timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759715765599,944,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,2271,266,1,1,null,0,0,252
1759715766190,353,Login,200,OK,setUp Thread Group 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,345,0,252
1759715766600,223,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY 1-1,,true,,4990,2119,1,1,null,0,1,51
1759715766600,223,Enhanced Entity Search,200,OK,OW - CRSG x CRMY 1-1,text,true,,4990,2119,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,223,0,51
1759715766600,223,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY 1-1,,true,,4990,2119,1,1,null,0,1,51
1759715766600,223,Enhanced Entity Search,200,OK,OW - CRSG x CRMY 1-1,text,true,,4990,2119,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,223,0,51
1759715767603,674,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY 1-2,,true,,4990,2119,2,2,null,0,3,45
1759715767605,674,Enhanced Entity Search,200,OK,OW - CRSG x CRMY 1-2,text,true,,4990,2119,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,674,0,45
1759715767603,674,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY 1-2,,true,,4990,2119,2,2,null,0,3,45
1759715767605,674,Enhanced Entity Search,200,OK,OW - CRSG x CRMY 1-2,text,true,,4990,2119,2,2,https://api-preprod.stg.handshakes.ai/api/entity/search,674,0,45
1759715768603,876,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY 1-3,,true,,4990,2119,3,3,null,0,3,55
1759715768606,876,Enhanced Entity Search,200,OK,OW - CRSG x CRMY 1-3,text,true,,4990,2119,3,3,https://api-preprod.stg.handshakes.ai/api/entity/search,876,0,55
1759715768603,876,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY 1-3,,true,,4990,2119,3,3,null,0,3,55
1759715768606,876,Enhanced Entity Search,200,OK,OW - CRSG x CRMY 1-3,text,true,,4990,2119,3,3,https://api-preprod.stg.handshakes.ai/api/entity/search,876,0,55
1759715769603,1332,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY 1-4,,true,,4990,2119,5,5,null,0,3,49
