timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759292314105,509,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,2271,266,1,1,null,0,639,405
1759292314715,509,POST|token,200,OK,setUp Thread Group 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,505,0,405
1759292315277,217,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-1,,true,,779,1935,1,1,null,0,2,46
1759292315278,217,Basic Entity Search,200,OK,OW - CRSG x CRMY x CM 1-1,text,true,,779,1935,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=FVV%20ECMT%20ZVQMT%20FTQ%20UTEJOC%20IDDCCQD&sourceshortname=CRSG,214,0,46
1759292316278,163,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-2,,true,,779,1935,2,2,null,0,4,79
1759292316281,163,Basic Entity Search,200,OK,OW - CRSG x CRMY x CM 1-2,text,true,,779,1935,2,2,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=FVV%20ECMT%20ZVQMT%20FTQ%20UTEJOC%20IDDCCQD&sourceshortname=CRSG,163,0,79
1759292316446,869,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-2,,true,,5887,2185,3,3,null,0,0,0
1759292315498,1816,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-1,,true,,5887,2185,3,3,null,0,1,0
1759292316446,869,Enhanced Entity Search,200,OK,OW - CRSG x CRMY x CM 1-2,text,true,,5887,2185,3,3,https://api-preprod.stg.handshakes.ai/api/entity/search,868,0,0
1759292315498,1816,Enhanced Entity Search,200,OK,OW - CRSG x CRMY x CM 1-1,text,true,,5887,2185,3,3,https://api-preprod.stg.handshakes.ai/api/entity/search,1816,0,0
1759292317278,1628,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-3,,true,,779,1935,4,4,null,0,3,82
1759292317280,1628,Basic Entity Search,200,OK,OW - CRSG x CRMY x CM 1-3,text,true,,779,1935,4,4,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=FVV%20ECMT%20ZVQMT%20FTQ%20UTEJOC%20IDDCCQD&sourceshortname=CRSG,1627,0,82
1759292318278,844,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-4,,true,,779,1935,4,4,null,0,2,63
1759292318279,844,Basic Entity Search,200,OK,OW - CRSG x CRMY x CM 1-4,text,true,,779,1935,4,4,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=FVV%20ECMT%20ZVQMT%20FTQ%20UTEJOC%20IDDCCQD&sourceshortname=CRSG,844,0,63
1759292318910,1476,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-3,,true,,5887,2185,6,6,null,0,2,0
1759292318912,1476,Enhanced Entity Search,200,OK,OW - CRSG x CRMY x CM 1-3,text,true,,5887,2185,6,6,https://api-preprod.stg.handshakes.ai/api/entity/search,1476,0,0
1759292319124,2401,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-4,,true,,5887,2185,7,7,null,0,0,0
1759292319124,2401,Enhanced Entity Search,200,OK,OW - CRSG x CRMY x CM 1-4,text,true,,5887,2185,7,7,https://api-preprod.stg.handshakes.ai/api/entity/search,2401,0,0
1759292319276,2248,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-5,,true,,779,1935,7,7,null,0,1,58
1759292319277,2248,Basic Entity Search,200,OK,OW - CRSG x CRMY x CM 1-5,text,true,,779,1935,7,7,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=FVV%20ECMT%20ZVQMT%20FTQ%20UTEJOC%20IDDCCQD&sourceshortname=CRSG,2248,0,58
1759292320275,1335,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-6,,true,,779,1935,7,7,null,0,2,51
1759292320276,1335,Basic Entity Search,200,OK,OW - CRSG x CRMY x CM 1-6,text,true,,779,1935,7,7,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=FVV%20ECMT%20ZVQMT%20FTQ%20UTEJOC%20IDDCCQD&sourceshortname=CRSG,1335,0,51
1759292321278,691,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-7,,true,,779,1935,7,7,null,0,3,87
1759292321281,691,Basic Entity Search,200,OK,OW - CRSG x CRMY x CM 1-7,text,true,,779,1935,7,7,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=FVV%20ECMT%20ZVQMT%20FTQ%20UTEJOC%20IDDCCQD&sourceshortname=CRSG,691,0,87
1759292321526,825,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-5,,true,,5887,2185,8,8,null,0,1,0
1759292321526,825,Enhanced Entity Search,200,OK,OW - CRSG x CRMY x CM 1-5,text,true,,5887,2185,8,8,https://api-preprod.stg.handshakes.ai/api/entity/search,825,0,0
1759292322278,318,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-8,,true,,779,1935,8,8,null,0,5,46
1759292322280,318,Basic Entity Search,200,OK,OW - CRSG x CRMY x CM 1-8,text,true,,779,1935,8,8,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=FVV%20ECMT%20ZVQMT%20FTQ%20UTEJOC%20IDDCCQD&sourceshortname=CRSG,317,0,46
1759292321973,768,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-7,,true,,5887,2185,8,8,null,0,1,0
1759292321973,768,Enhanced Entity Search,200,OK,OW - CRSG x CRMY x CM 1-7,text,true,,5887,2185,8,8,https://api-preprod.stg.handshakes.ai/api/entity/search,768,0,0
1759292321612,1325,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-6,,true,,5887,2185,8,8,null,0,2,0
1759292321613,1325,Enhanced Entity Search,200,OK,OW - CRSG x CRMY x CM 1-6,text,true,,5887,2185,8,8,https://api-preprod.stg.handshakes.ai/api/entity/search,1325,0,0
1759292322603,1100,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",OW - CRSG x CRMY x CM 1-8,,true,,5887,2185,9,9,null,0,2,0
