timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1767583984871,1031,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,1025,0,676
1767583981658,1031,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,1025,3292,676
1767583986238,1623,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1703,1955,1,1,null,0,1966,147
1767583986245,1623,Basic Entity Search,200,OK,APIs 1-1,text,true,,1703,1955,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Hong%20Kong%20Institute%20of%20Certificate%20Public%20Accountants&sourceshortname=CM,1621,0,147
1767583989830,794,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2840,2032,1,1,null,0,31,0
1767583989831,794,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2840,2032,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,794,0,0
1767583990656,49170,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,6205298,2080,1,1,null,0,7,0
1767583990657,49170,Radial Map,200,OK,APIs 1-1,text,true,,6205298,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,45640,0,0
1767584039833,69769,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2216518,2131,1,1,null,0,8,0
1767584039833,69769,Interconnection Map,200,OK,APIs 1-1,text,true,,2216518,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,68642,0,0
1767584109610,230459,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,23344,1969,1,1,null,0,14,46
1767584109610,230459,EPR,200,OK,APIs 1-1,text,true,,23344,1969,1,1,https://api-preprod.stg.handshakes.ai/api/report/single/entityprofile/base/json/2?sourceguid=edffcff1-81bf-4ace-bdb5-049e8799137d&entityguid=079B7C01-6FDF-4A72-B4DA-A84935C5C0E0,230458,0,46
1767584340084,20709,RED List Report,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3191398,2023,1,1,null,0,12,76
1767584340084,20709,RED List Report,200,OK,APIs 1-1,text,true,,3191398,2023,1,1,https://api-preprod.stg.handshakes.ai/api/report/redlist,18997,0,76
1767584360805,390,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1703,1955,1,1,null,0,3,85
1767584360806,390,Basic Entity Search,200,OK,APIs 1-1,text,true,,1703,1955,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Hong%20Kong%20Institute%20of%20Certificate%20Public%20Accountants&sourceshortname=CM,390,0,85
1767584361198,449,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2840,2032,1,1,null,0,3,0
1767584361198,449,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2840,2032,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,449,0,0
1767584361650,37874,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,6205298,2080,1,1,null,0,3,0
1767584361651,37874,Radial Map,200,OK,APIs 1-1,text,true,,6205298,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,34274,0,0
1767584399528,20986,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2216518,2131,1,1,null,0,2,0
1767584399529,20986,Interconnection Map,200,OK,APIs 1-1,text,true,,2216518,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,19858,0,0
1767584420517,160754,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,23350,1969,1,1,null,0,3,0
1767584420518,160754,EPR,200,OK,APIs 1-1,text,true,,23350,1969,1,1,https://api-preprod.stg.handshakes.ai/api/report/single/entityprofile/base/json/2?sourceguid=edffcff1-81bf-4ace-bdb5-049e8799137d&entityguid=079B7C01-6FDF-4A72-B4DA-A84935C5C0E0,160743,0,0
1767584581275,11372,RED List Report,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3191398,2023,1,1,null,0,1,68
1767584581275,11372,RED List Report,200,OK,APIs 1-1,text,true,,3191398,2023,1,1,https://api-preprod.stg.handshakes.ai/api/report/redlist,9657,0,68
1767584592648,361,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1703,1955,1,1,null,0,5,44
1767584592650,361,Basic Entity Search,200,OK,APIs 1-1,text,true,,1703,1955,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=Hong%20Kong%20Institute%20of%20Certificate%20Public%20Accountants&sourceshortname=CM,361,0,44
1767584593014,405,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2840,2032,1,1,null,0,2,0
1767584593015,405,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2840,2032,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,405,0,0
1767584593422,14479,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,6205298,2080,1,1,null,0,1,0
1767584593422,14479,Radial Map,200,OK,APIs 1-1,text,true,,6205298,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,10963,0,0
1767584607901,14592,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2216518,2131,1,1,null,0,2,0
