timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1767678636220,614,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,608,0,374
1767678633138,614,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,608,3111,374
1767678636904,454,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,705,1920,1,1,null,0,485,75
1767678636905,454,Basic Entity Search,200,OK,APIs 1-1,text,true,,705,1920,1,1,https://api2.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,453,0,75
1767678637843,221,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2146,2001,1,1,null,0,22,0
1767678637843,221,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2146,2001,1,1,https://api2.stg.handshakes.ai/api/entity/search,221,0,0
1767678638087,19503,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2718323,2073,1,1,null,0,7,0
1767678638087,19503,Radial Map,200,OK,APIs 1-1,text,true,,2718323,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,18098,0,0
1767678657598,7522,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,361472,2124,1,1,null,0,10,0
1767678657598,7522,Interconnection Map,200,OK,APIs 1-1,text,true,,361472,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,7463,0,0
1767678665130,19873,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3279383,2073,1,1,null,0,7,0
1767678665130,19873,LBO Map,200,OK,APIs 1-1,text,true,,3279383,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,18102,0,0
1767678685010,13286,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,218062,2073,1,1,null,0,16,0
