timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1767605305504,677,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,0,3227,419
1767605308663,677,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,670,0,419
1767605309449,1513,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5003,2122,1,1,null,0,795,56
1767605309449,1513,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,5003,2122,1,1,https://api2.stg.handshakes.ai/api/entity/search,1513,0,56
1767605311758,45598,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3006053,2197,1,1,null,0,18,0
1767605311758,45598,Radial Map,200,OK,APIs 1-1,text,true,,3006053,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,45021,0,0
1767605357375,15200,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,9680,2248,1,1,null,0,15,0
1767605357375,15200,Interconnection Map,200,OK,APIs 1-1,text,true,,9680,2248,1,1,https://api2.stg.handshakes.ai/api/graph/render,15200,0,0
1767605372591,105993,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,182490,2003,1,1,null,0,11,63
1767605372591,105993,EPR,200,OK,APIs 1-1,text,true,,182490,2003,1,1,https://api2.stg.handshakes.ai/api/report/entityprofile/base/json/2?sourceguid=4af00c3f-bda4-490c-8c7b-c7645bfaf395&sourceguid=73e4c5c3-58c7-4f4e-837c-41411a19abca&entityguid=47F27B89-D422-4737-A146-3DED8525CDB9,105917,0,63
1767605478596,374,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5003,2122,1,1,null,0,3,115
1767605478597,374,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,5003,2122,1,1,https://api2.stg.handshakes.ai/api/entity/search,374,0,115
1767605478974,16117,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3006053,2197,1,1,null,0,1,0
1767605478974,16117,Radial Map,200,OK,APIs 1-1,text,true,,3006053,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,15515,0,0
1767605495093,13609,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,9680,2248,1,1,null,0,2,0
1767605495093,13609,Interconnection Map,200,OK,APIs 1-1,text,true,,9680,2248,1,1,https://api2.stg.handshakes.ai/api/graph/render,13609,0,0
1767605508704,81787,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,182490,2003,1,1,null,0,3,0
1767605508704,81787,EPR,200,OK,APIs 1-1,text,true,,182490,2003,1,1,https://api2.stg.handshakes.ai/api/report/entityprofile/base/json/2?sourceguid=4af00c3f-bda4-490c-8c7b-c7645bfaf395&sourceguid=73e4c5c3-58c7-4f4e-837c-41411a19abca&entityguid=47F27B89-D422-4737-A146-3DED8525CDB9,81776,0,0
1767605590495,382,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5003,2122,1,1,null,0,4,81
1767605590497,382,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,5003,2122,1,1,https://api2.stg.handshakes.ai/api/entity/search,382,0,81
1767605590882,16419,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3006053,2197,1,1,null,0,2,0
1767605590882,16419,Radial Map,200,OK,APIs 1-1,text,true,,3006053,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,15933,0,0
1767605607304,16199,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,9680,2248,1,1,null,0,2,0
1767605607304,16199,Interconnection Map,200,OK,APIs 1-1,text,true,,9680,2248,1,1,https://api2.stg.handshakes.ai/api/graph/render,16199,0,0
1767605623505,67794,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,182490,2003,1,1,null,0,4,0
1767605623506,67794,EPR,200,OK,APIs 1-1,text,true,,182490,2003,1,1,https://api2.stg.handshakes.ai/api/report/entityprofile/base/json/2?sourceguid=4af00c3f-bda4-490c-8c7b-c7645bfaf395&sourceguid=73e4c5c3-58c7-4f4e-837c-41411a19abca&entityguid=47F27B89-D422-4737-A146-3DED8525CDB9,67782,0,0
