timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1767686559694,163,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,163,0,96
1767686556685,163,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,163,3013,96
1767686559978,6494,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,117,39
1767686559979,6494,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,6321,0,39
1767686566589,1135,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,3,73
1767686566590,1135,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1091,0,73
1767686567727,1125,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,3,51
1767686567728,1125,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1060,0,51
1767686587757,111,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,111,0,52
1767686584741,111,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,111,3020,52
1767686587963,1226,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,14,35
1767686587964,1226,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1068,0,35
1767686589203,1242,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,2,65
1767686589204,1242,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1140,0,65
1767686590447,1129,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,2,41
1767686590448,1129,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1061,0,41
1767686600025,108,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,108,0,49
1767686597010,108,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,108,3020,49
1767686600217,1310,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,14,45
1767686600218,1310,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1153,0,45
1767686601541,1108,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,0,35
1767686601541,1108,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1045,0,35
1767686602650,1186,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,1,42
1767686602650,1186,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1096,0,42
1767686615812,102,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,102,0,48
1767686612801,102,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,102,3014,48
1767686616024,1205,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,12,36
1767686616024,1205,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1056,0,36
1767686617241,1088,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,2,35
1767686617242,1088,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1025,0,35
1767686618331,1091,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,300564,2131,1,1,null,0,3,38
1767686618332,1091,Interconnection Map,200,OK,APIs 1-1,text,true,,300564,2131,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,1034,0,38
1767686645043,310,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,310,0,80
1767686642030,310,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,310,3016,80
1767686645467,22954,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,361472,2124,1,1,null,0,12,42
1767686645467,22954,Interconnection Map,200,OK,APIs 1-1,text,true,,361472,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,22759,0,42
1767686668432,8304,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,361472,2124,1,1,null,0,2,52
1767686668433,8304,Interconnection Map,200,OK,APIs 1-1,text,true,,361472,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,8241,0,52
1767686676739,13492,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,361472,2124,1,1,null,0,3,51
1767686676740,13492,Interconnection Map,200,OK,APIs 1-1,text,true,,361472,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,13397,0,51
1767686699791,109,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,109,0,39
1767686696787,109,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,109,3005,39
1767686699956,8953,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,361472,2124,1,1,null,0,14,35
1767686699956,8953,Interconnection Map,200,OK,APIs 1-1,text,true,,361472,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,8756,0,35
1767686708923,7501,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,361472,2124,1,1,null,0,3,80
1767686708924,7501,Interconnection Map,200,OK,APIs 1-1,text,true,,361472,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,7439,0,80
1767686716427,8639,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,361472,2124,1,1,null,0,3,57
1767686716428,8639,Interconnection Map,200,OK,APIs 1-1,text,true,,361472,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,8500,0,57
