timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1767089002277,795,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,783,0,348
1767088999148,795,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,783,3177,348
1767089003159,25941,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1851,1995,1,1,null,0,721,83
1767089003159,25941,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,1851,1995,1,1,https://api2.stg.handshakes.ai/api/entity/search,25941,0,83
1767341780044,673,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,667,0,373
1767341776930,673,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,667,3153,373
1767341780807,2455,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1851,1995,1,1,null,0,876,103
1767341780808,2455,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,1851,1995,1,1,https://api2.stg.handshakes.ai/api/entity/search,2455,0,103
1767341784138,90432,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,6038347,2073,1,1,null,0,8,0
1767341784139,90432,Radial Map,200,OK,APIs 1-1,text,true,,6038347,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,89960,0,0
1767343411579,833,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,824,0,724
1767343408405,833,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,824,3227,724
1767343412547,1395,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1851,1995,1,1,null,0,1271,50
1767343412548,1395,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,1851,1995,1,1,https://api2.stg.handshakes.ai/api/entity/search,1395,0,50
1767343415214,62524,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,6038347,2073,1,1,null,0,16,0
1767343415215,62524,Radial Map,200,OK,APIs 1-1,text,true,,6038347,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,62190,0,0
1767343477754,12068,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,133601,2320,1,1,null,0,13,85
1767343477754,12068,Interconnection Map,200,OK,APIs 1-1,text,true,,133601,2320,1,1,https://api2.stg.handshakes.ai/api/graph/render,12040,0,85
1767343489835,7210,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1510868,2073,1,1,null,0,12,0
1767343489836,7210,LBO Map,200,OK,APIs 1-1,text,true,,1510868,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,7078,0,0
1767343497056,19596,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,11215,1962,1,1,null,0,21,0
1767343497056,19596,EPR,200,OK,APIs 1-1,text,true,,11215,1962,1,1,https://api2.stg.handshakes.ai/api/report/single/entityprofile/base/json/2?sourceguid=4af00c3f-bda4-490c-8c7b-c7645bfaf395&entityguid=A1B019B8-AE66-422F-9D29-9CF5961A69AA,19596,0,0
1767343516675,306,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,697,1914,1,1,null,0,27,0
