timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764898029842,351,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,348,0,255
1764898029842,351,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,348,0,255
1764898026737,351,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,348,3125,255
1764898026737,351,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,348,3125,255
1764898030235,525,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,764,1927,1,1,null,0,783,103
1764898030236,525,Basic Entity Search,200,OK,APIs 1-1,text,true,,764,1927,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,524,0,103
1764898030235,525,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,764,1927,1,1,null,0,783,103
1764898030236,525,Basic Entity Search,200,OK,APIs 1-1,text,true,,764,1927,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,524,0,103
1764898031543,2848,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,192382,2080,1,1,null,0,10,0
1764898031543,2848,Investee Companies Map,200,OK,APIs 1-1,text,true,,192382,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,2805,0,0
1764898031543,2848,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,192382,2080,1,1,null,0,10,0
1764898031543,2848,Investee Companies Map,200,OK,APIs 1-1,text,true,,192382,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,2805,0,0
1764898034402,7912,RED List Report,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,39902,2025,1,1,null,0,20,0
1764898034402,7912,RED List Report,200,OK,APIs 1-1,text,true,,39902,2025,1,1,https://api-preprod.stg.handshakes.ai/api/report/redlist,7910,0,0
1764898034402,7912,RED List Report,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,39902,2025,1,1,null,0,20,0
1764898034402,7912,RED List Report,200,OK,APIs 1-1,text,true,,39902,2025,1,1,https://api-preprod.stg.handshakes.ai/api/report/redlist,7910,0,0
1764898042335,130,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,764,1927,1,1,null,0,4,46
1764898042337,130,Basic Entity Search,200,OK,APIs 1-1,text,true,,764,1927,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,130,0,46
1764898042335,130,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,764,1927,1,1,null,0,4,46
1764898042337,130,Basic Entity Search,200,OK,APIs 1-1,text,true,,764,1927,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,130,0,46
1764898042469,2953,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,192382,2080,1,1,null,0,2,0
1764898042470,2953,Investee Companies Map,200,OK,APIs 1-1,text,true,,192382,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,2927,0,0
1764898042469,2953,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,192382,2080,1,1,null,0,2,0
1764898042470,2953,Investee Companies Map,200,OK,APIs 1-1,text,true,,192382,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,2927,0,0
1764898045425,1723,RED List Report,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,39902,2025,1,1,null,0,1,0
1764898045425,1723,RED List Report,200,OK,APIs 1-1,text,true,,39902,2025,1,1,https://api-preprod.stg.handshakes.ai/api/report/redlist,1721,0,0
1764898045425,1723,RED List Report,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,39902,2025,1,1,null,0,1,0
1764898045425,1723,RED List Report,200,OK,APIs 1-1,text,true,,39902,2025,1,1,https://api-preprod.stg.handshakes.ai/api/report/redlist,1721,0,0
1764898047149,320,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,764,1927,1,1,null,0,3,66
1764898047151,320,Basic Entity Search,200,OK,APIs 1-1,text,true,,764,1927,1,1,https://api-preprod.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,320,0,66
1764898047149,320,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,764,1927,1,1,null,0,3,66
