timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764647216852,671,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,668,3117,336
1764647216852,671,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,668,3117,336
1764647216852,19308,Basic Entity Search,200,"Number of samples in transaction : 2, number of failing samples : 0",APIs 1-1,,true,,2997,2207,1,1,null,0,3119,336
1764647219945,671,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,668,0,336
1764647220642,18637,Basic Entity Search,200,OK,APIs 1-1,text,true,,726,1948,1,1,https://api2.stg.handshakes.ai/api/search/entity/byname/json?searchText=Hong%20Kong%20Institute%20of%20Certificate%20Public%20Accountants&sourceshortname=CM,18636,0,0
1764647216852,19308,Basic Entity Search,200,"Number of samples in transaction : 2, number of failing samples : 0",APIs 1-1,,true,,2997,2207,1,1,null,0,3119,336
1764647219945,671,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,668,0,336
1764647220642,18637,Basic Entity Search,200,OK,APIs 1-1,text,true,,726,1948,1,1,https://api2.stg.handshakes.ai/api/search/entity/byname/json?searchText=Hong%20Kong%20Institute%20of%20Certificate%20Public%20Accountants&sourceshortname=CM,18636,0,0
1764647239281,175,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,175,3015,0
1764647239281,175,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,175,3015,0
1764647239281,954,Enhanced Entity Search,200,"Number of samples in transaction : 2, number of failing samples : 0",APIs 1-1,,true,,5164,2284,1,1,null,0,3017,0
1764647242291,175,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,175,0,0
1764647242472,779,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2893,2025,1,1,https://api2.stg.handshakes.ai/api/entity/search,779,0,0
1764647239281,954,Enhanced Entity Search,200,"Number of samples in transaction : 2, number of failing samples : 0",APIs 1-1,,true,,5164,2284,1,1,null,0,3017,0
1764647242291,175,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,175,0,0
1764647242472,779,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2893,2025,1,1,https://api2.stg.handshakes.ai/api/entity/search,779,0,0
1764647243253,178,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,178,3010,0
1764647243253,178,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,178,3010,0
1764647243252,169121,Radial Map,200,"Number of samples in transaction : 2, number of failing samples : 0",APIs 1-1,,true,,7153511,2332,1,1,null,0,3012,0
1764647246258,178,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,178,0,0
1764647246442,168943,Radial Map,200,OK,APIs 1-1,text,true,,7151240,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,168638,0,0
1764647243252,169121,Radial Map,200,"Number of samples in transaction : 2, number of failing samples : 0",APIs 1-1,,true,,7153511,2332,1,1,null,0,3012,0
1764647246258,178,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,178,0,0
1764647246442,168943,Radial Map,200,OK,APIs 1-1,text,true,,7151240,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,168638,0,0
1764647415385,149,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,149,3010,64
1764647415385,149,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,149,3010,64
1764647415385,408,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",APIs 1-1,,false,,2913,2383,1,1,null,0,3012,64
1764647418391,149,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,149,0,64
1764647418544,259,Interconnection Map,500,Internal Server Error,APIs 1-1,,false,Test failed: code expected to contain /200/,642,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,259,0,0
1764647415385,408,Interconnection Map,500,"Number of samples in transaction : 2, number of failing samples : 1",APIs 1-1,,false,,2913,2383,1,1,null,0,3012,64
1764647418391,149,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,149,0,64
1764647418544,259,Interconnection Map,500,Internal Server Error,APIs 1-1,,false,Test failed: code expected to contain /200/,642,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,259,0,0
1764647418806,71,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,71,3016,0
1764647418806,71,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,71,3016,0
1764647418806,399858,EPR,200,"Number of samples in transaction : 2, number of failing samples : 0",APIs 1-1,,true,,661424,2221,1,1,null,0,3017,0
1764647421819,71,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,71,0,0
1764647421893,399787,EPR,200,OK,APIs 1-1,text,true,,659153,1962,1,1,https://api2.stg.handshakes.ai/api/report/single/entityprofile/base/json/2?sourceguid=edffcff1-81bf-4ace-bdb5-049e8799137d&entityguid=079B7C01-6FDF-4A72-B4DA-A84935C5C0E0,399332,0,0
1764647418806,399858,EPR,200,"Number of samples in transaction : 2, number of failing samples : 0",APIs 1-1,,true,,661424,2221,1,1,null,0,3017,0
1764647421819,71,Token,200,OK,APIs 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,71,0,0
1764647421893,399787,EPR,200,OK,APIs 1-1,text,true,,659153,1962,1,1,https://api2.stg.handshakes.ai/api/report/single/entityprofile/base/json/2?sourceguid=edffcff1-81bf-4ace-bdb5-049e8799137d&entityguid=079B7C01-6FDF-4A72-B4DA-A84935C5C0E0,399332,0,0
1764647821683,452,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,452,3011,83
1764647821683,452,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2271,259,1,1,null,452,3011,83
