timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764867847595,698,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,694,0,274
1764867847595,698,Token,200,OK,Token 1-1,text,true,,2271,266,1,1,https://api-preprod.stg.handshakes.ai/Token,694,0,274
1764867844482,698,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,694,3138,274
1764867844482,698,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,266,1,1,null,694,3138,274
1764867848362,551,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1937,2002,1,1,null,0,607,45
1764867848363,551,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,1937,2002,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,551,0,45
1764867848362,551,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1937,2002,1,1,null,0,607,45
1764867848363,551,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,1937,2002,1,1,https://api-preprod.stg.handshakes.ai/api/entity/search,551,0,45
1764867849521,55477,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5144441,2080,1,1,null,0,9,0
1764867849521,55477,Radial Map,200,OK,APIs 1-1,text,true,,5144441,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,52578,0,0
1764867849521,55477,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5144441,2080,1,1,null,0,9,0
1764867849521,55477,Radial Map,200,OK,APIs 1-1,text,true,,5144441,2080,1,1,https://api-preprod.stg.handshakes.ai/api/graph/render,52578,0,0
1764867905007,8252,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,1191001,2080,1,1,null,0,16,0
