timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764817489438,985,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,0,3357,724
1764817492741,985,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,980,0,724
1764817489438,985,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,0,3357,724
1764817492741,985,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,980,0,724
1764817493821,45563,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,709596,2197,1,1,null,0,967,39
1764817493822,45563,LBO Map,200,OK,APIs 1-1,text,true,,709596,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,45385,0,39
1764817493821,45563,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,709596,2197,1,1,null,0,967,39
1764817493822,45563,LBO Map,200,OK,APIs 1-1,text,true,,709596,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,45385,0,39
1764817540350,46808,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,612553,2197,1,1,null,0,16,0
1764817540351,46808,Investee Companies Map,200,OK,APIs 1-1,text,true,,612553,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,46719,0,0
1764817540350,46808,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,612553,2197,1,1,null,0,16,0
1764817540351,46808,Investee Companies Map,200,OK,APIs 1-1,text,true,,612553,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,46719,0,0
1764817587175,45688,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,709596,2197,1,1,null,0,4,233
1764817587177,45688,LBO Map,200,OK,APIs 1-1,text,true,,709596,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,45622,0,233
1764817587175,45688,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,709596,2197,1,1,null,0,4,233
1764817587177,45688,LBO Map,200,OK,APIs 1-1,text,true,,709596,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,45622,0,233
1764817632869,21293,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,612553,2197,1,1,null,0,1,0
1764817632869,21293,Investee Companies Map,200,OK,APIs 1-1,text,true,,612553,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,21268,0,0
1764817632869,21293,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,612553,2197,1,1,null,0,1,0
1764817632869,21293,Investee Companies Map,200,OK,APIs 1-1,text,true,,612553,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,21268,0,0
1764817654163,29924,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,709596,2197,1,1,null,0,3,238
1764817654164,29924,LBO Map,200,OK,APIs 1-1,text,true,,709596,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,29802,0,238
1764817654163,29924,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,709596,2197,1,1,null,0,3,238
1764817654164,29924,LBO Map,200,OK,APIs 1-1,text,true,,709596,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,29802,0,238
1764817684090,22299,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,612553,2197,1,1,null,0,3,0
1764817684090,22299,Investee Companies Map,200,OK,APIs 1-1,text,true,,612553,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,22246,0,0
1764817684090,22299,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,612553,2197,1,1,null,0,3,0
1764817684090,22299,Investee Companies Map,200,OK,APIs 1-1,text,true,,612553,2197,1,1,https://api2.stg.handshakes.ai/api/graph/render,22246,0,0
