timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764594247848,546,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,0,3124,244
1764594250945,546,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,541,0,244
1764594247848,546,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,0,3124,244
1764594250945,546,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,541,0,244
1764594251540,16758,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5903,2178,1,1,null,0,1,46
1764594251540,16758,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,5903,2178,1,1,https://api2.stg.handshakes.ai/api/entity/search,16758,0,46
1764594251540,16758,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5903,2178,1,1,null,0,1,46
1764594251540,16758,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,5903,2178,1,1,https://api2.stg.handshakes.ai/api/entity/search,16758,0,46
1764594268299,46249,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,433516,2246,1,1,null,0,2,0
1764594268300,46249,Radial Map,200,OK,APIs 1-1,text,true,,433516,2246,1,1,https://api2.stg.handshakes.ai/api/graph/render,45596,0,0
1764594268299,46249,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,433516,2246,1,1,null,0,2,0
1764594268300,46249,Radial Map,200,OK,APIs 1-1,text,true,,433516,2246,1,1,https://api2.stg.handshakes.ai/api/graph/render,45596,0,0
1764594314552,262,Interconnection Map,500,"Number of samples in transaction : 1, number of failing samples : 1",APIs 1-1,,false,,642,2297,1,1,null,0,1,174
1764594314552,262,Interconnection Map,500,Internal Server Error,APIs 1-1,,false,Test failed: code expected to contain /200/,642,2297,1,1,https://api2.stg.handshakes.ai/api/graph/render,260,0,174
1764594314552,262,Interconnection Map,500,"Number of samples in transaction : 1, number of failing samples : 1",APIs 1-1,,false,,642,2297,1,1,null,0,1,174
