timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764496127180,478,Radial Map,401,"Number of samples in transaction : 2, number of failing samples : 1",Radial Map 2-1,,false,,3004,812,4,8,null,0,502,57
1764496127681,463,Token,200,OK,Radial Map 2-1,text,true,,2331,268,4,8,https://api-preprod.stg.handshakes.ai/Token,463,0,57
1764496128144,15,Radial Map,401,Unauthorized,Radial Map 2-1,text,false,Test failed: code expected to contain /200/,673,544,4,8,https://api-preprod.stg.handshakes.ai/api/graph/render,15,0,0
1764496127481,298,Radial Map,401,"Number of samples in transaction : 2, number of failing samples : 1",Radial Map 2-2,,false,,1280,812,4,8,null,0,501,30
1764496127981,281,Token,200,OK,Radial Map 2-2,text,true,,607,268,4,8,https://api-preprod.stg.handshakes.ai/Token,281,0,30
1764496128263,17,Radial Map,401,Unauthorized,Radial Map 2-2,text,false,Test failed: code expected to contain /200/,673,544,4,8,https://api-preprod.stg.handshakes.ai/api/graph/render,17,0,0
1764496127781,227,Radial Map,401,"Number of samples in transaction : 2, number of failing samples : 1",Radial Map 2-3,,false,,3004,812,5,10,null,0,501,38
1764496128281,202,Token,200,OK,Radial Map 2-3,text,true,,2331,268,5,10,https://api-preprod.stg.handshakes.ai/Token,202,0,38
1764496128483,25,Radial Map,401,Unauthorized,Radial Map 2-3,text,false,Test failed: code expected to contain /200/,673,544,5,10,https://api-preprod.stg.handshakes.ai/api/graph/render,25,0,0
1764496128080,392,Radial Map,401,"Number of samples in transaction : 2, number of failing samples : 1",Radial Map 2-4,,false,,3004,812,7,14,null,0,513,36
1764496128591,374,Token,200,OK,Radial Map 2-4,text,true,,2331,268,6,13,https://api-preprod.stg.handshakes.ai/Token,374,0,36
1764496128966,18,Radial Map,401,Unauthorized,Radial Map 2-4,text,false,Test failed: code expected to contain /200/,673,544,7,14,https://api-preprod.stg.handshakes.ai/api/graph/render,18,0,0
1764496127163,871,Enhanced Entity Search,200,"Number of samples in transaction : 2, number of failing samples : 0",Enhanced Entity Search 1-1,,true,,7321,2447,7,14,null,0,1002,51
1764496128165,233,Token,200,OK,Enhanced Entity Search 1-1,text,true,,2331,268,5,10,https://api-preprod.stg.handshakes.ai/Token,233,0,51
1764496128398,638,Enhanced Entity Search,200,OK,Enhanced Entity Search 1-1,text,true,,4990,2179,7,14,https://api-preprod.stg.handshakes.ai/api/entity/search,638,0,0
1764496128160,432,Radial Map,401,"Number of samples in transaction : 2, number of failing samples : 1",Radial Map 2-1,,false,,3004,812,7,14,null,0,512,46
